,Call Strike,OI of Call,Change_oi in Call,Call ltp,Put Strike,OIPut,Change_oi in Put,Put ltp,Cost,Cost Per Lot,Arbitrage Diff,Arbitrage percent in Spot,Arbitrage percent in Cost
96,46000.0,4340325.0,1180850.0,7.8,45100.0,4001700.0,2254300.0,113.15,120.95,3023.75,-1020.9500000000044,-2.25944126437533,-8.44109136006618
97,45700.0,3450825.0,1492750.0,18.95,44700.0,2593750.0,641550.0,28.35,47.3,1182.5,-1047.2999999999956,-2.317755851099724,-22.141649048625702
98,45600.0,3584900.0,1722975.0,29.2,44600.0,2667550.0,780250.0,20.15,49.349999999999994,1233.7499999999998,-1049.3499999999985,-2.322292659554571,-21.26342451874364
99,45800.0,2359900.0,438450.0,13.05,44800.0,3248775.0,820475.0,39.7,52.75,1318.75,-1052.75,-2.329817122357724,-19.95734597156398
100,45200.0,5808700.0,4299350.0,150.55,44300.0,2207225.0,112700.0,9.5,160.05,4001.2500000000005,-1060.050000000003,-2.345972586611553,-6.6232427366448166
101,45500.0,6027700.0,2723900.0,45.5,44500.0,4072275.0,646925.0,15.25,60.75,1518.75,-1060.75,-2.3475217407180775,-17.46090534979424
102,46100.0,1754375.0,698050.0,6.3,45200.0,5573200.0,3331225.0,155.75,162.05,4051.2500000000005,-1062.050000000003,-2.350398741201641,-6.553841406973174
103,45900.0,1876100.0,583675.0,9.6,44900.0,3096150.0,1801275.0,56.85,66.45,1661.25,-1066.449999999997,-2.3601362812998223,-16.04890895410078
104,46200.0,1691100.0,436775.0,5.45,45400.0,1194400.0,265575.0,275.05,280.5,7012.5,-1080.5,-2.3912300172951992,-3.8520499108734403
105,45400.0,4535250.0,2639075.0,69.9,44400.0,1870800.0,306325.0,11.65,81.55000000000001,2038.7500000000002,-1081.550000000003,-2.3935537484550022,-13.262415695892125
106,45000.0,2440075.0,1173100.0,276.9,44200.0,1926050.0,372100.0,8.35,285.25,7131.25,-1085.25,-2.4017421344466587,-3.8045574057844
107,46000.0,4340325.0,1180850.0,7.8,45000.0,7724850.0,4165800.0,81.3,89.1,2227.5,-1089.1000000000058,-2.410262482032592,-12.223344556677956
108,45300.0,5254300.0,3348375.0,105.3,44300.0,2207225.0,112700.0,9.5,114.8,2870.0,-1114.800000000003,-2.46713856851522,-9.710801393728248
109,46200.0,1691100.0,436775.0,5.45,45300.0,2801750.0,573900.0,210.05,215.5,5387.5,-1115.5,-2.4686877226217443,-5.176334106728539
