,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
287,2024-05-17 14:02:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,405.4,407.2,396.35,398.2,37485,1123800,287
288,2024-05-17 14:03:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,401.7,408,400.7,405,27480,1123800,288
289,2024-05-17 14:04:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,406.95,421.8,406.95,421.8,75060,1114740,289
290,2024-05-17 14:05:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,421.55,433.1,421.55,428.75,117735,1114740,290
291,2024-05-17 14:06:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,426.5,426.5,415.1,416.6,53865,1114740,291
292,2024-05-17 14:07:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,412.25,412.25,406.3,406.5,45465,1103445,292
293,2024-05-17 14:08:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,405.3,406.45,399.75,406.45,44205,1103445,293
294,2024-05-17 14:09:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.4,417.9,406.2,417.65,37035,1103445,294
295,2024-05-17 14:10:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,418.25,418.25,408.6,410.25,37050,1101900,295
296,2024-05-17 14:11:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.65,424,407.55,422.95,50685,1101900,296
297,2024-05-17 14:12:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,421.85,424.2,415.6,416.8,26970,1101900,297
298,2024-05-17 14:13:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,413.55,435.05,413.55,425.7,54630,1098525,298
299,2024-05-17 14:14:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,425.75,429.15,420.1,420.1,37080,1098525,299
300,2024-05-17 14:15:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,415.5,424.05,413.55,421.4,29835,1098525,300
301,2024-05-17 14:16:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420.4,446.65,420.4,442.1,100995,1091115,301
302,2024-05-17 14:17:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,441.9,445.85,432.65,435,71970,1091115,302
303,2024-05-17 14:18:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,431.75,432.9,421.35,421.65,56460,1091115,303
304,2024-05-17 14:19:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420.9,426.35,420.65,422.5,34920,1070865,304
305,2024-05-17 14:20:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,419.4,425.05,419.4,423.05,24105,1070865,305
306,2024-05-17 14:21:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,423.5,432.8,423.5,426.95,28710,1070865,306
307,2024-05-17 14:22:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,426.35,433.6,425,433.6,18090,1071150,307
308,2024-05-17 14:23:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,434.15,440.25,425.75,440.25,34410,1071150,308
309,2024-05-17 14:24:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,444,445.05,434.3,434.3,51720,1071150,309
310,2024-05-17 14:25:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,433.8,433.85,419.85,427.7,53160,1054665,310
311,2024-05-17 14:26:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,427.45,433,424.45,429.5,19560,1054665,311
312,2024-05-17 14:27:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,427.05,430.65,411.1,411.5,40425,1054665,312
313,2024-05-17 14:28:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.25,418.65,405.95,409.7,41280,1063560,313
314,2024-05-17 14:29:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,409,418.6,408.7,414.65,25485,1063560,314
315,2024-05-17 14:30:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.6,419,410.05,410.05,27690,1063560,315
316,2024-05-17 14:31:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,410.65,414.25,402.5,404.8,42810,1062510,316
317,2024-05-17 14:32:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.3,424.7,407.3,420.9,49665,1062510,317
318,2024-05-17 14:33:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,421.55,424.75,413.95,415.35,28665,1062510,318
319,2024-05-17 14:34:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,415.05,420.45,412.15,413.7,18885,1057545,319
320,2024-05-17 14:35:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,412,426.1,409.65,417.45,31890,1057545,320
321,2024-05-17 14:36:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,417,424.2,417,421,22995,1057545,321
322,2024-05-17 14:37:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420.8,430.3,418.2,425,39975,1060365,322
323,2024-05-17 14:38:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,423.6,428.05,418.75,423.3,20400,1060365,323
